order_id,product_id,quantity,unit_price,total_price
768ae72c-7104-48e6-bf2d-15a5700b7558,80aeba0c-2cb5-4dff-9908-c2f8197e31bf,3,142.55,427.65
ee38ad62-b01f-40f3-8d90-97edce59b4d6,f6fb55a9-92ca-4726-917c-3f244c1de694,3,342.45,1027.35
ee38ad62-b01f-40f3-8d90-97edce59b4d6,0d97a562-447c-4b32-80b5-6b2f396ab623,3,303.0,909.0
ee38ad62-b01f-40f3-8d90-97edce59b4d6,2c067203-a671-4310-9ed7-edbb46727d81,3,482.36,1447.08
ee38ad62-b01f-40f3-8d90-97edce59b4d6,80aeba0c-2cb5-4dff-9908-c2f8197e31bf,1,142.55,142.55
682907d2-5789-413b-a484-536723f263ce,f3ddfce9-2e78-4c37-8992-4bae7054fe8d,1,387.67,387.67
682907d2-5789-413b-a484-536723f263ce,00ca3004-a7ca-4016-9a54-297e3bdd18c4,2,306.44,612.88
9b71720d-4e24-4496-bccd-8a7d98463ca9,f6fb55a9-92ca-4726-917c-3f244c1de694,1,342.45,342.45
9b71720d-4e24-4496-bccd-8a7d98463ca9,2cc27755-6660-4ddd-933e-bed58c727325,2,296.69,593.38
9b71720d-4e24-4496-bccd-8a7d98463ca9,0b88e851-b865-4190-9195-026eab6f8731,1,271.99,271.99
ac7629b2-20ca-42d4-8025-39f73d18e652,841dc74a-fada-4b3b-91b8-adc8665c848f,1,336.14,336.14
9372284b-75cd-41ff-9394-e487b201d1d5,7aea3ec3-8686-4dc8-b3e0-76038406acfc,2,319.66,639.32
9372284b-75cd-41ff-9394-e487b201d1d5,46768531-c6fc-44b6-871e-6db4091af865,1,103.42,103.42
9372284b-75cd-41ff-9394-e487b201d1d5,0e09d925-389d-4a79-b111-34cff0fa192d,1,202.7,202.7
9372284b-75cd-41ff-9394-e487b201d1d5,07374f20-cf36-41ad-aba0-b5ba76ada0c2,2,498.68,997.36
9259f203-b9e2-46f7-9398-39e597127126,a5aeb4ac-9f46-4990-a318-cf06358fa336,3,116.23,348.69
9259f203-b9e2-46f7-9398-39e597127126,e613c6a3-de92-474c-b537-a000d6905b84,3,459.65,1378.95
9259f203-b9e2-46f7-9398-39e597127126,aa343df8-5577-4e00-9066-557d0b1526b8,2,118.91,237.82
9259f203-b9e2-46f7-9398-39e597127126,3dcba0c9-cd0e-418c-a530-6532aeec12c5,1,44.01,44.01
0b87ab36-865f-4b26-9fbf-8372f54599da,29211965-577a-4299-a222-13601fc647ae,3,430.52,1291.56
0b87ab36-865f-4b26-9fbf-8372f54599da,46768531-c6fc-44b6-871e-6db4091af865,3,103.42,310.26
0b87ab36-865f-4b26-9fbf-8372f54599da,510b3cab-3715-4d44-9c9a-8b195849bb3e,1,457.0,457.0
0b87ab36-865f-4b26-9fbf-8372f54599da,0d97a562-447c-4b32-80b5-6b2f396ab623,3,303.0,909.0
0b87ab36-865f-4b26-9fbf-8372f54599da,8c9633c2-2ab0-49df-9706-5f9a6786366e,3,60.22,180.66
e9255b81-683a-4c5b-b935-fea937908a15,a0216ac4-1abd-4f53-8d35-dbfd1c06e9c4,1,256.3,256.3
a66582a3-fdeb-4731-903c-e6eb380aa180,c582eb3b-eb04-4d34-880f-5775b7fac451,3,212.66,637.98
a66582a3-fdeb-4731-903c-e6eb380aa180,ed96866b-b3a2-4a40-be54-823133d4de8d,2,352.4,704.8
a66582a3-fdeb-4731-903c-e6eb380aa180,317b5d95-7f12-4e38-a0b1-b84280b2f657,3,52.87,158.61
a66582a3-fdeb-4731-903c-e6eb380aa180,8040b2ad-0d66-49e2-b5a4-53d33346bd0b,3,306.52,919.56
a66582a3-fdeb-4731-903c-e6eb380aa180,225609a0-0fbb-4e77-9d58-ed3e690b731d,1,439.61,439.61
3bb195fb-e400-48b8-9135-5be5cf91cde4,fa2019a0-e70c-44a0-949a-f327aaa167e3,3,165.46,496.38
3bb195fb-e400-48b8-9135-5be5cf91cde4,510b3cab-3715-4d44-9c9a-8b195849bb3e,2,457.0,914.0
3bb195fb-e400-48b8-9135-5be5cf91cde4,25a54c46-b515-44c7-96a1-50449334be09,3,193.16,579.48
3bb195fb-e400-48b8-9135-5be5cf91cde4,aa343df8-5577-4e00-9066-557d0b1526b8,2,118.91,237.82
3bb195fb-e400-48b8-9135-5be5cf91cde4,ed96866b-b3a2-4a40-be54-823133d4de8d,2,352.4,704.8
9e44e687-0bab-43f3-a04b-bc15cbf27d42,e769d418-7d03-428c-b9a9-0b7be3abb8b7,2,341.74,683.48
9e44e687-0bab-43f3-a04b-bc15cbf27d42,841dc74a-fada-4b3b-91b8-adc8665c848f,1,336.14,336.14
9e44e687-0bab-43f3-a04b-bc15cbf27d42,c69164e0-8dc1-4221-9eb5-5204fabba4ee,2,126.22,252.44
639e5d1a-d4f6-4ccf-ad81-0f64f7644c01,00ca3004-a7ca-4016-9a54-297e3bdd18c4,1,306.44,306.44
7e449dd8-ef0b-40ad-974d-e0b1c2d9b1a2,c582eb3b-eb04-4d34-880f-5775b7fac451,1,212.66,212.66
7e449dd8-ef0b-40ad-974d-e0b1c2d9b1a2,365eed28-ccce-497a-ac81-a3e314104024,2,217.07,434.14
7e449dd8-ef0b-40ad-974d-e0b1c2d9b1a2,3886dc0a-d59f-41bd-8c69-bce19d93e9ce,2,415.56,831.12
5ed855eb-1370-4172-8855-9664941a6231,e212286f-4991-48cc-8399-dc53d103d47a,3,408.93,1226.79
5ed855eb-1370-4172-8855-9664941a6231,9f21d9fe-37b5-42c1-949d-ba339d2bb1d4,1,421.63,421.63
5ed855eb-1370-4172-8855-9664941a6231,32d8608a-99bc-40d3-917b-59c7fe4e5920,3,357.91,1073.73
26736148-045a-428c-9c1a-7ac3a7f05493,4a1cbc1c-e2a4-4301-a68b-cf8e499af139,1,55.59,55.59
26736148-045a-428c-9c1a-7ac3a7f05493,97feac70-157d-47bb-a705-4e08d72a0b6b,3,259.51,778.53
26736148-045a-428c-9c1a-7ac3a7f05493,3dcba0c9-cd0e-418c-a530-6532aeec12c5,2,44.01,88.02
6a20a493-5476-4c21-a2c4-a368e50e1e8b,25a54c46-b515-44c7-96a1-50449334be09,3,193.16,579.48
6a20a493-5476-4c21-a2c4-a368e50e1e8b,1f7befc0-aa6c-4e47-b10b-144665fa32bd,2,86.74,173.48
6a20a493-5476-4c21-a2c4-a368e50e1e8b,ff97f3c9-d369-4540-9505-7c014fd90074,2,486.08,972.16
60b7dfa3-397b-4d15-b72b-d165f04e81dd,7da8e606-3dd2-4b69-817a-8890b2b27cb7,1,113.71,113.71
